code,exchange,element,structure,E0,E0_err,V0,V0_err,B,B_err,BP,BP_err
VASP,PBE,Zn,bcc,-1.02358080695987,2.4255676855115e-05,15.4349008807791,0.00306188989614709,64.78471965812571,0.4040831138471836,5.02751786061808,0.618827985846993
VASP,PBE,Fe,hcp,-8.153656599369349,4.413719439277029e-05,10.1715714991582,0.00128541626320683,289.26536813271485,1.0519531745815471,4.51276573018658,0.38962039233710105
VASP,PBE,Zr,hcp,-8.51957141687905,0.00022184858307894702,23.4554534667935,0.0142869388923307,90.73904110967956,2.378250277738461,0.00212407357424665,1.55764783387685
VASP,PBE,Ta,bcc,-11.8617708635972,0.00021008450671086598,18.1140066071752,0.00901473565912341,206.36295921319,3.2445326686841205,3.81229933783564,1.76050160904587
VASP,PBE,Co,hcp,-6.81920756067441,1.81458892978424e-05,10.2868110776136,0.000309955948838973,252.06472730496918,0.3776735217038439,4.83113384886425,0.0531232612566197
VASP,PBE,Hg,bcc,-0.180784797472631,9.631310909685807e-06,29.7942597628485,0.00965228500168862,7.800689076342508,0.18646189045926867,12.7013942993752,0.86087521979318
VASP,PBE,Ti,bcc,-7.661576011628539,2.92396415019677e-05,16.9522078435153,0.0021894197116066197,111.76519522074024,0.41849100481722107,3.3143007618937497,0.39412860158266105
VASP,PBE,Cr,fcc,-9.09155938351515,1.56095733160753e-05,11.7398591024227,0.000551078358103337,241.79019957784598,0.31951259651229275,4.28805228571125,0.14573944140701198
VASP,PBE,Al,fcc,-3.74599080453673,3.13163823572601e-05,16.4826196882177,0.003418661585577,77.72762144838143,0.4613242238835182,4.7597928167622685,0.6501212973216229
VASP,PBE,Mo,hcp,-10.5054129777742,3.4417740994425107e-05,15.991375379280901,0.0012016789274499802,248.2369526074117,0.5329894734572006,4.1844642296931,0.235660354050273
VASP,PBE,W,bcc,-13.0196962553036,2.0928543675866893e-05,15.9551419191538,0.000582192298647976,313.7207470475618,0.3269470244429053,4.21792734551866,0.114197764324866
VASP,PBE,Cr,hcp,-9.0833109615013,1.34514750584679e-05,11.774918652597199,0.000479834535543448,240.10197303449883,0.2754737590682326,4.25742232489644,0.127573457234148
VASP,PBE,Nb,fcc,-9.771195675024261,2.8709931150226002e-05,18.954691892632,0.00146196189619974,166.86257626900885,0.3758775008394742,3.87209876912969,0.239270858579588
VASP,PBE,Hg,fcc,-0.175422786791564,3.90396568337549e-06,32.9141814346737,0.00461191875965859,7.831687217888045,0.036745388924686435,-0.0269891218503589,0.0606468960449436
VASP,PBE,Ni,fcc,-5.467166424014749,1.9193812651272e-05,10.881503071840699,0.00083240231049673,195.96322748487916,0.42776600166782136,4.876912691502009,0.236961441727648
VASP,PBE,Cu,hcp,-3.71992235119535,5.1216505904640505e-05,12.0249425192452,0.00317672358620825,136.02460531712453,1.0325578304381915,4.68085855117294,0.8207186805976601
VASP,PBE,Ni,hcp,-10.7679820543557,8.86520515854497e-05,21.703682924061305,0.00381216217851206,198.53052822825225,0.9918376785444932,4.881966636296991,0.5454847263560251
VASP,PBE,Sc,fcc,-6.154248480089719,1.00691716768553e-05,24.195222725736198,0.0015628322176262802,54.85026373849689,0.10098784105120884,3.34992978569382,0.20462017023532
VASP,PBE,Zr,fcc,-8.4812106914801,1.01195172628991e-05,23.2043607158819,0.000958644806721485,90.52827438035078,0.11163799195844848,3.33941464484957,0.133811582569423
VASP,PBE,Tc,bcc,-10.1244446864554,4.04403092787775e-05,14.4574615027666,0.0011668210560552199,298.78430004542474,0.7148023730685605,4.5583373316723295,0.249135982096368
VASP,PBE,V,bcc,-8.9407856530901,1.19527963578927e-05,13.209022839154,0.00053792353994228,187.57455535436765,0.2198177632247913,3.81011549287269,0.125046120976594
VASP,PBE,Al,hcp,-3.713864307731201,3.06670843505361e-05,16.635154634644998,0.00338219341467921,75.05816228514658,0.4653820657321137,4.33504583753194,0.6201476722983299
VASP,PBE,Re,bcc,-12.109060076061699,3.2785058483305606e-05,15.071072324060099,0.000779110645668097,362.37889010451073,0.5490634596550646,4.5910539353580315,0.159643866288835
VASP,PBE,Ag,fcc,-2.71753105124569,1.30108361733925e-05,17.8264640400131,0.00120976769978949,90.39483588089729,0.17813551172574474,6.47317645238713,0.23322395728942896
VASP,PBE,Mo,fcc,-10.519652524731901,2.17681767695477e-05,15.908502643995199,0.000762947079090175,249.32041488663455,0.34408259318390505,4.15744271863697,0.150986241386951
VASP,PBE,Ir,hcp,-8.77514187952606,6.87224178120951e-05,14.5846824290079,0.000913422096602858,345.8355146217796,1.154714084349658,5.13197210818236,0.13367844374865198
VASP,PBE,Al,bcc,-3.6503810554031606,1.87055318014438e-05,16.9139300495575,0.0023022307128076,68.82347615221408,0.2691096299120393,4.49759681747225,0.428790776960126
VASP,PBE,Fe,bcc,-8.2371345196097,2.02365075547843e-05,11.3550811321832,0.000916902612538784,189.15691797187358,0.4383788831212096,5.5119586642501295,0.261000998622763
VASP,PBE,Cu,bcc,-3.69266556290634,4.52658420462695e-06,12.060870626235499,0.00028318699199668797,135.87316205876056,0.09226287795958517,5.059529238111571,0.0737971528207926
VASP,PBE,Au,hcp,-3.21492759344894,3.094832209729069e-05,17.9816765615794,0.00192897957695038,138.33759555952443,0.4337929310868802,6.13688060032341,0.35189853442986696
VASP,PBE,Zr,bcc,-8.43594755035274,3.83020907818004e-05,22.8253296636201,0.0037000778425705103,87.54227122016194,0.4154026505395443,3.08601567833063,0.502089747241679
VASP,PBE,Nb,hcp,-9.796873301345089,3.87614450783512e-05,18.8761501347612,0.0019995761878094107,165.16715155025025,0.5014119008617718,3.93520744260346,0.33774981073137395
VASP,PBE,Ru,fcc,-9.138643137034698,7.12024596366758e-05,13.731978286195499,0.00192757772096462,308.940663340864,1.2472999986692934,4.37394352146831,0.4312728052741379
VASP,PBE,Ru,hcp,-9.25315181924447,4.70782724930494e-05,13.6625884213139,0.000638445139015694,315.53570115772135,0.8266781886487443,4.89767622109805,0.0932631013839519
VASP,PBE,Cr,bcc,-9.48600730342901,5.175341863376731e-06,11.399530511851802,0.000169086183574028,262.3207042720014,0.10968174277207048,4.3106078003147985,0.0462081433999306
VASP,PBE,Ag,bcc,-2.68653284992975,5.77612940227375e-06,17.970228923672,0.000560858964551419,87.77517450639454,0.07857354834693865,5.75031453699944,0.10033687369915198
VASP,PBE,Fe,fcc,-8.07484187364729,2.5687997152417803e-05,10.2299286896909,0.000769288088719825,284.96506450353735,0.6038063697429512,4.72733902698661,0.233750017902372
VASP,PBE,Pd,fcc,-5.21566580042897,3.7321588377280203e-05,15.296200478343,0.0018078881149084399,168.44388886324836,0.594668072741708,5.002168224554191,0.362160933224076
VASP,PBE,Rh,hcp,-7.23876113884479,4.76375162121234e-05,14.034127637350199,0.000689846195523587,255.49027764265847,0.7635414050740407,5.19191553593029,0.0884140107969938
VASP,PBE,Os,fcc,-11.112265664500502,5.727085712465142e-05,14.3318218973134,0.00122063525264864,399.5939323752147,1.0137194258727618,4.87965132203017,0.26251000887270604
VASP,PBE,Os,hcp,-11.2500494074756,8.86375860152152e-05,14.276729945134699,0.00103291828212116,406.56808751290185,1.5391742173788798,4.6254822170021,0.152602966107126
VASP,PBE,Tc,fcc,-10.3034251527141,5.65686162685697e-05,14.373813210378303,0.00164550840048563,303.1645638597136,0.9895575098370564,4.48468966298752,0.35940237475700393
VASP,PBE,Re,hcp,-12.426398313179,5.539457728406711e-05,14.9335810669344,0.00126730333819449,371.8610242509292,0.895040736319923,4.54531573227927,0.2666881195855369
